Year,CIRI Country ID,Country,UN Country ID,UN Region,UN Subregion,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Empowerment Rights Index (Old),Empowerment Rights Index (New),Freedom of Assembly and Association,Freedom of Foreign Movement,Freedom of Domestic Movement,Freedom of Movement (Old),Freedom of Speech,Electoral Self-Determination,Freedom of Religion (Old),Freedom of Religion (New),Employment Rights,Women’s Economic Rights,Women’s Political Rights,Women’s Social Rights,Independence of Judiciary
1987,515,Philippines,608,Asia,Southeastern Asia,0,0,0,0,0,5,11,2,2,2,0,1,1,1,2,1,-999,2,-999,1
1988,515,Philippines,608,Asia,Southeastern Asia,0,0,0,0,0,8,12,2,2,2,1,0,2,1,2,2,1,2,0,2
1989,515,Philippines,608,Asia,Southeastern Asia,0,0,0,0,0,8,12,2,2,2,1,0,2,1,2,2,1,2,0,2
1990,515,Philippines,608,Asia,Southeastern Asia,3,2,0,0,1,7,10,2,2,1,1,1,1,1,2,1,1,2,1,1
1991,515,Philippines,608,Asia,Southeastern Asia,3,1,0,1,1,9,12,2,2,1,1,2,2,1,2,1,1,2,1,2
1992,515,Philippines,608,Asia,Southeastern Asia,2,1,0,0,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,2
1993,515,Philippines,608,Asia,Southeastern Asia,4,1,1,1,1,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
1994,515,Philippines,608,Asia,Southeastern Asia,3,2,1,0,0,8,11,1,2,2,1,2,1,1,2,1,1,2,1,1
1995,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,7,11,2,2,2,1,1,1,1,2,1,1,2,1,1
1996,515,Philippines,608,Asia,Southeastern Asia,2,0,0,1,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
1997,515,Philippines,608,Asia,Southeastern Asia,2,1,1,0,0,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
1998,515,Philippines,608,Asia,Southeastern Asia,3,1,1,0,1,10,14,2,2,2,1,2,2,1,2,2,1,2,1,1
1999,515,Philippines,608,Asia,Southeastern Asia,2,1,1,0,0,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
2000,515,Philippines,608,Asia,Southeastern Asia,0,0,0,0,0,8,11,1,2,2,1,1,1,1,2,2,2,2,2,1
2001,515,Philippines,608,Asia,Southeastern Asia,2,1,1,0,0,10,13,2,2,1,1,2,2,1,2,2,1,2,1,1
2002,515,Philippines,608,Asia,Southeastern Asia,2,1,1,0,0,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
2003,515,Philippines,608,Asia,Southeastern Asia,2,1,1,0,0,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
2004,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,7,10,1,2,2,1,1,1,1,2,1,1,2,1,1
2005,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,7,10,1,2,2,1,1,1,1,2,1,1,2,,1
2006,515,Philippines,608,Asia,Southeastern Asia,0,0,0,0,0,8,12,2,2,2,1,1,2,1,2,1,1,2,,0
2007,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,,9,2,2,1,,1,1,,1,1,1,2,1,1
2008,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,,9,1,2,1,,1,1,,2,1,1,2,,0
2009,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,,10,2,2,1,,2,1,,2,0,1,2,,0
2010,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,,10,2,2,1,,1,1,,2,1,2,2,,0
2011,515,Philippines,608,Asia,Southeastern Asia,1,1,0,0,0,,9,2,2,1,,1,1,,1,1,1,2,,1
1981,518,Poland,616,Europe,Eastern Europe,6,2,2,0,2,2,7,1,1,2,0,1,1,0,1,0,1,2,1,1
1982,518,Poland,616,Europe,Eastern Europe,4,1,1,1,1,2,5,0,1,1,0,0,1,0,1,1,1,2,1,1
1983,518,Poland,616,Europe,Eastern Europe,4,2,1,0,1,7,6,0,1,1,1,1,1,1,1,1,2,2,1,1
1984,518,Poland,616,Europe,Eastern Europe,4,2,1,0,1,5,3,0,1,1,1,1,0,1,0,0,1,2,1,1
1985,518,Poland,616,Europe,Eastern Europe,3,2,1,0,0,7,7,0,1,2,1,1,1,1,1,1,2,2,-999,0
1986,518,Poland,616,Europe,Eastern Europe,4,2,2,0,0,7,7,0,1,2,1,1,1,1,1,1,2,2,-999,0
1987,518,Poland,616,Europe,Eastern Europe,4,2,1,1,0,5,6,0,1,2,1,1,0,1,2,0,2,2,1,0
1988,518,Poland,616,Europe,Eastern Europe,4,1,1,1,1,7,7,0,1,2,1,2,0,1,1,1,2,2,2,1
1989,518,Poland,616,Europe,Eastern Europe,5,2,1,1,1,7,10,1,2,2,1,1,1,1,2,1,-999,2,2,2
1990,518,Poland,616,Europe,Eastern Europe,6,2,2,2,0,9,12,1,2,2,1,2,2,1,2,1,2,2,2,1
1991,518,Poland,616,Europe,Eastern Europe,6,2,2,2,0,9,13,2,2,2,1,1,2,1,2,2,2,2,2,2
1992,518,Poland,616,Europe,Eastern Europe,6,2,2,1,1,9,12,2,2,2,1,1,2,1,1,2,1,2,1,2
1993,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
1994,518,Poland,616,Europe,Eastern Europe,8,2,2,2,2,9,11,1,2,2,1,2,2,1,1,1,1,2,1,2
1995,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,7,11,2,2,2,1,1,1,1,2,1,1,2,1,2
1996,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,2
1997,518,Poland,616,Europe,Eastern Europe,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,1,2,1,2
1998,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,1,2,1,2
1999,518,Poland,616,Europe,Eastern Europe,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,1,2,2,2
2000,518,Poland,616,Europe,Eastern Europe,6,2,2,2,0,9,13,2,2,2,1,1,2,1,2,2,1,2,2,2
2001,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,7,11,2,2,2,1,1,2,1,2,0,1,2,2,2
2002,518,Poland,616,Europe,Eastern Europe,8,2,2,2,2,7,11,2,2,2,1,1,2,1,2,0,2,2,2,2
2003,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,7,11,2,2,2,1,1,2,1,2,0,1,2,3,2
2004,518,Poland,616,Europe,Eastern Europe,6,2,1,2,1,8,12,2,2,2,1,2,2,1,2,0,1,2,1,2
2005,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,7,10,1,2,2,1,1,2,1,2,0,1,2,,2
2006,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,7,10,1,2,2,1,1,2,1,2,0,1,2,,2
2007,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,,11,2,2,2,,1,2,,2,0,2,2,2,2
2008,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,,11,2,2,2,,1,2,,2,0,1,2,,2
2009,518,Poland,616,Europe,Eastern Europe,6,2,2,1,1,,11,2,2,2,,1,1,,2,1,1,2,,1
2010,518,Poland,616,Europe,Eastern Europe,7,2,2,2,1,,12,2,2,2,,1,2,,2,1,1,2,,1
2011,518,Poland,616,Europe,Eastern Europe,6,2,2,1,1,,12,2,2,2,,1,2,,2,1,1,2,,2
1981,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,9,11,1,1,2,1,2,1,1,2,2,1,2,1,2
1982,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,8,11,2,1,2,1,1,1,1,2,2,2,2,2,2
1983,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,9,12,2,1,2,1,1,2,1,2,2,2,2,2,2
1984,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,8,11,2,1,2,1,1,1,1,2,2,2,2,2,2
1985,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,9,12,2,1,2,1,1,2,1,2,2,2,2,2,2
1986,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,9,12,2,1,2,1,1,2,1,2,2,2,2,2,2
1987,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,8,12,2,2,2,1,1,1,1,2,2,2,2,2,2
1988,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,9,13,2,2,2,1,1,2,1,2,2,2,2,3,2
1989,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,9,13,2,2,2,1,1,2,1,2,2,2,2,3,2
1990,521,Portugal,620,Europe,Southern Europe,8,2,2,2,2,8,12,2,2,2,1,1,1,1,2,2,2,2,2,2
1991,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1992,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,8,12,2,2,2,1,1,2,1,2,1,2,2,3,2
1993,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1994,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
1995,521,Portugal,620,Europe,Southern Europe,6,2,2,2,0,9,13,2,2,2,1,2,2,1,2,1,2,2,3,2
1996,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1997,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
1998,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,3,2,3,2
1999,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
2000,521,Portugal,620,Europe,Southern Europe,6,2,2,2,0,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
2001,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
2002,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
2003,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,3,2
2004,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,1,2
2005,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,2,2,,2
2006,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,1,2,,2
2007,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,,14,2,2,2,,2,2,,2,2,2,2,3,2
2008,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,2,2,,2
2009,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,2,2,,2
2010,521,Portugal,620,Europe,Southern Europe,6,2,1,2,1,,12,2,2,2,,2,1,,2,1,3,2,,2
2011,521,Portugal,620,Europe,Southern Europe,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,2,2,,2
1981,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,0,,,,,0,,,,,1
1982,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,0,,,,,1,,,,,0
1983,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
1984,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1985,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1986,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1987,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
1988,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1989,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1990,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1991,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1992,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1993,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
1994,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1995,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
1996,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1997,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1998,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,0,,,,,1
1999,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
2000,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
2001,524,Qatar,634,Asia,Western Asia,7,2,2,2,1,0,4,0,2,2,0,0,0,0,0,0,2,0,0,1
2002,524,Qatar,634,Asia,Western Asia,,,,,,,,,2,2,,,,,1,,,,,1
2003,524,Qatar,634,Asia,Western Asia,8,2,2,2,2,1,5,0,2,2,0,1,0,0,0,0,1,1,0,1
2004,524,Qatar,634,Asia,Western Asia,8,2,2,2,2,1,6,0,2,2,0,1,0,0,1,0,0,1,0,1
2005,524,Qatar,634,Asia,Western Asia,7,2,2,1,2,0,4,0,2,2,0,0,0,0,0,0,1,1,,1
2006,524,Qatar,634,Asia,Western Asia,6,2,2,1,1,0,5,0,2,2,0,0,0,0,1,0,1,1,,1
2007,524,Qatar,634,Asia,Western Asia,5,2,2,1,0,,3,0,2,0,,0,0,,1,0,1,1,0,1
2008,524,Qatar,634,Asia,Western Asia,8,2,2,2,2,,4,1,2,0,,0,0,,1,0,1,1,,1
2009,524,Qatar,634,Asia,Western Asia,8,2,2,2,2,,3,0,2,0,,0,0,,1,0,1,1,,1
2010,524,Qatar,634,Asia,Western Asia,8,2,2,2,2,,2,0,2,0,,0,0,,0,0,1,1,,1
2011,524,Qatar,634,Asia,Western Asia,6,1,2,1,2,,2,0,2,0,,0,0,,0,0,1,1,,1
1981,527,Romania,642,Europe,Eastern Europe,4,2,1,0,1,3,2,0,0,1,1,1,0,0,0,0,2,3,2,1
1982,527,Romania,642,Europe,Eastern Europe,4,1,1,1,1,3,2,0,0,1,1,0,0,0,0,1,2,3,2,1
1983,527,Romania,642,Europe,Eastern Europe,4,1,1,1,1,3,2,0,0,1,1,0,0,0,0,1,2,3,2,0
1984,527,Romania,642,Europe,Eastern Europe,3,2,1,0,0,3,1,0,0,0,1,1,0,0,0,0,2,3,2,1
1985,527,Romania,642,Europe,Eastern Europe,3,1,1,0,1,5,3,0,0,0,1,1,1,0,0,1,3,3,2,0
1986,527,Romania,642,Europe,Eastern Europe,3,1,1,0,1,2,2,0,0,0,0,0,1,0,0,1,3,3,2,0
1987,527,Romania,642,Europe,Eastern Europe,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,3,2,0
1988,527,Romania,642,Europe,Eastern Europe,6,2,2,1,1,3,1,0,0,0,0,0,0,1,0,1,2,3,2,1
1989,527,Romania,642,Europe,Eastern Europe,5,1,1,2,1,5,1,0,0,0,1,0,0,1,0,1,2,3,2,1
1990,527,Romania,642,Europe,Eastern Europe,4,1,2,1,0,7,10,1,2,2,1,1,1,1,2,1,2,1,2,1
1991,527,Romania,642,Europe,Eastern Europe,5,1,1,2,1,9,13,2,2,2,1,2,2,1,2,1,1,1,2,0
1992,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,6,9,1,2,2,1,1,1,1,2,0,1,1,1,1
1993,527,Romania,642,Europe,Eastern Europe,7,2,2,2,1,9,12,1,2,2,1,2,2,1,2,1,1,1,1,0
1994,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,5,9,1,2,2,1,1,1,0,1,1,1,1,1,0
1995,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,5,9,2,2,2,1,1,1,0,0,1,1,1,1,0
1996,527,Romania,642,Europe,Eastern Europe,7,2,2,2,1,6,10,2,2,2,1,1,2,0,0,1,1,2,1,1
1997,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,5,8,1,2,2,1,1,1,0,0,1,1,2,1,1
1998,527,Romania,642,Europe,Eastern Europe,7,2,2,2,1,6,10,2,2,2,1,1,2,0,0,1,1,2,1,1
1999,527,Romania,642,Europe,Eastern Europe,6,2,1,2,1,6,10,1,2,2,1,1,2,0,1,1,1,2,1,1
2000,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,5,10,2,2,2,1,1,1,0,1,1,1,2,1,1
2001,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,6,10,2,2,2,1,1,2,0,0,1,1,2,1,1
2002,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,5,10,2,2,2,1,1,2,0,1,0,1,2,1,1
2003,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,5,10,2,2,2,1,1,2,0,1,0,2,2,1,1
2004,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,3,8,2,2,2,1,0,1,0,1,0,2,2,1,1
2005,527,Romania,642,Europe,Eastern Europe,6,2,1,2,1,4,7,1,2,2,1,1,1,0,0,0,1,2,,1
2006,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,4,8,1,2,2,1,1,1,0,1,0,1,2,,1
2007,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,,8,1,2,2,,1,1,,0,1,1,1,1,1
2008,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,,7,1,2,2,,1,0,,0,1,1,2,,1
2009,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,,9,1,2,2,,1,1,,1,1,1,2,,1
2010,527,Romania,642,Europe,Eastern Europe,5,2,1,2,0,,7,1,2,2,,1,1,,0,0,2,2,,1
2011,527,Romania,642,Europe,Eastern Europe,6,2,2,2,0,,8,1,2,2,,1,1,,0,1,1,2,,1
1981,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1982,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1983,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1984,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1985,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1986,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1987,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1988,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1989,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1990,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1991,530,Russia,643,Europe,Eastern Europe,,,,,,,,,,,,,,,,,,,,
1992,530,Russia,643,Europe,Eastern Europe,3,0,1,1,1,6,6,1,0,0,1,2,2,0,1,0,1,2,-999,1
1993,530,Russia,643,Europe,Eastern Europe,4,2,1,1,0,5,6,1,1,0,1,1,1,0,1,1,1,2,1,1
1994,530,Russia,643,Europe,Eastern Europe,5,2,1,2,0,5,7,2,1,0,1,1,1,0,1,1,1,2,1,0
1995,530,Russia,643,Europe,Eastern Europe,1,0,0,1,0,3,6,2,1,0,0,1,1,0,0,1,1,2,1,0
1996,530,Russia,643,Europe,Eastern Europe,3,1,0,1,1,4,7,2,1,0,0,1,2,0,0,1,1,2,1,1
1997,530,Russia,643,Europe,Eastern Europe,3,2,0,1,0,3,6,2,1,0,0,1,1,0,0,1,1,2,1,1
1998,530,Russia,643,Europe,Eastern Europe,3,2,0,1,0,4,7,2,1,0,0,1,2,0,0,1,1,2,1,1
1999,530,Russia,643,Europe,Eastern Europe,3,2,0,1,0,4,6,1,1,0,0,1,2,0,0,1,1,2,1,1
2000,530,Russia,643,Europe,Eastern Europe,2,1,0,1,0,3,6,2,1,0,0,1,2,0,0,0,1,1,1,1
2001,530,Russia,643,Europe,Eastern Europe,1,0,0,1,0,4,7,2,1,0,0,1,2,0,0,1,1,2,1,1
2002,530,Russia,643,Europe,Eastern Europe,4,1,1,2,0,3,6,2,1,0,0,1,2,0,0,0,1,2,1,1
2003,530,Russia,643,Europe,Eastern Europe,2,0,0,2,0,2,4,1,1,0,0,1,1,0,0,0,0,2,1,1
2004,530,Russia,643,Europe,Eastern Europe,1,0,0,1,0,3,3,1,1,0,0,0,1,1,0,0,0,2,2,1
2005,530,Russia,643,Europe,Eastern Europe,2,0,1,1,0,1,3,1,1,0,0,0,1,0,0,0,1,2,,1
2006,530,Russia,643,Europe,Eastern Europe,2,0,1,1,0,1,3,1,1,0,0,0,1,0,0,0,1,2,,1
2007,530,Russia,643,Europe,Eastern Europe,1,0,1,0,0,,4,1,0,2,,0,1,,0,0,2,2,1,1
2008,530,Russia,643,Europe,Eastern Europe,3,1,1,1,0,,2,0,0,2,,0,0,,0,0,1,2,,0
2009,530,Russia,643,Europe,Eastern Europe,1,0,1,0,0,,2,0,0,2,,0,0,,0,0,1,2,,0
2010,530,Russia,643,Europe,Eastern Europe,1,0,1,0,0,,2,0,0,2,,0,0,,0,0,1,2,,0
2011,530,Russia,643,Europe,Eastern Europe,0,0,0,0,0,,2,0,0,2,,0,0,,0,0,1,2,,0
1981,533,Rwanda,646,Africa,Eastern Africa,8,2,2,2,2,5,7,0,1,1,0,1,1,1,2,1,1,2,1,1
1982,533,Rwanda,646,Africa,Eastern Africa,7,2,2,2,1,4,5,0,1,0,0,0,0,1,2,2,1,2,1,2
1983,533,Rwanda,646,Africa,Eastern Africa,7,2,2,2,1,4,4,0,0,0,0,0,0,1,2,2,1,2,1,2
1984,533,Rwanda,646,Africa,Eastern Africa,8,2,2,2,2,4,4,0,0,0,0,1,0,1,2,1,1,2,1,1
1985,533,Rwanda,646,Africa,Eastern Africa,6,2,2,1,1,4,4,0,0,0,0,1,0,1,2,1,1,2,1,0
1986,533,Rwanda,646,Africa,Eastern Africa,5,2,2,0,1,2,1,0,0,0,0,0,0,1,1,0,1,2,1,0
1987,533,Rwanda,646,Africa,Eastern Africa,6,2,2,0,2,4,5,0,1,0,0,1,0,1,2,1,1,2,1,1
1988,533,Rwanda,646,Africa,Eastern Africa,7,2,2,1,2,2,3,0,1,0,0,1,0,0,0,1,1,2,0,1
1989,533,Rwanda,646,Africa,Eastern Africa,6,2,2,1,1,0,2,1,1,0,0,0,0,0,0,0,1,2,1,1
1990,533,Rwanda,646,Africa,Eastern Africa,3,2,1,0,0,1,4,1,2,0,0,0,0,0,0,1,1,2,1,1
1991,533,Rwanda,646,Africa,Eastern Africa,1,1,0,0,0,3,6,1,1,0,0,1,0,0,1,2,1,2,1,1
1992,533,Rwanda,646,Africa,Eastern Africa,2,1,0,0,1,5,6,1,1,0,0,1,0,1,1,2,1,2,1,1
1993,533,Rwanda,646,Africa,Eastern Africa,1,1,0,0,0,5,9,2,2,0,0,1,1,1,2,1,1,2,1,0
1994,533,Rwanda,646,Africa,Eastern Africa,0,0,0,0,0,5,7,0,1,1,0,1,0,1,2,2,1,1,1,0
1995,533,Rwanda,646,Africa,Eastern Africa,0,0,0,0,0,7,7,1,1,0,1,1,0,1,2,2,1,1,1,0
1996,533,Rwanda,646,Africa,Eastern Africa,1,1,0,0,0,6,8,1,1,2,1,0,1,1,2,1,1,1,1,0
1997,533,Rwanda,646,Africa,Eastern Africa,0,0,0,0,0,6,9,1,2,2,1,1,0,1,2,1,1,1,0,0
1998,533,Rwanda,646,Africa,Eastern Africa,2,0,0,2,0,5,8,1,2,2,1,0,0,1,2,1,1,2,1,0
1999,533,Rwanda,646,Africa,Eastern Africa,3,1,0,2,0,3,4,1,1,0,0,0,0,1,1,1,1,2,1,1
2000,533,Rwanda,646,Africa,Eastern Africa,2,1,0,1,0,5,5,1,1,0,0,1,0,1,0,2,1,2,1,1
2001,533,Rwanda,646,Africa,Eastern Africa,3,1,1,1,0,3,3,1,1,0,0,0,0,1,0,1,1,2,1,1
2002,533,Rwanda,646,Africa,Eastern Africa,3,1,1,1,0,2,4,1,1,1,0,0,0,1,1,0,1,2,1,1
2003,533,Rwanda,646,Africa,Eastern Africa,2,1,1,0,0,3,4,0,2,1,1,0,1,0,0,0,2,3,2,1
2004,533,Rwanda,646,Africa,Eastern Africa,2,1,1,0,0,1,3,1,1,0,0,0,1,0,0,0,2,3,2,1
2005,533,Rwanda,646,Africa,Eastern Africa,4,2,1,1,0,1,5,1,2,1,0,0,1,0,0,0,2,3,,1
2006,533,Rwanda,646,Africa,Eastern Africa,4,2,1,1,0,6,7,1,2,2,1,1,1,1,0,0,1,3,,0
2007,533,Rwanda,646,Africa,Eastern Africa,5,2,1,1,1,,6,1,2,2,,0,1,,0,0,2,3,2,1
2008,533,Rwanda,646,Africa,Eastern Africa,4,2,1,0,1,,4,1,1,2,,0,0,,0,0,1,3,,1
2009,533,Rwanda,646,Africa,Eastern Africa,3,2,0,0,1,,5,1,2,2,,0,0,,0,0,1,3,,1
2010,533,Rwanda,646,Africa,Eastern Africa,2,0,1,0,1,,5,1,2,2,,0,0,,0,0,1,3,,1
2011,533,Rwanda,646,Africa,Eastern Africa,2,0,1,0,1,,5,1,2,1,,0,0,,1,0,2,3,,1
1981,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,-999,-999,,,,,,,,,,
1982,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,-999,-999,,,,,,,,,,
1983,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1984,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1985,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1986,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1987,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1988,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1989,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1990,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1991,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1992,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1993,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1994,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1995,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1996,536,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
